id,text,label,second_label,confidence,flag,note
635,HiGood evening have you had dinner? Come out for dinner Are You still busy Now? ;),,,,,
28,"WELLS FARGO: Update>: A decision has been made, your account is suspended. Visit http://VERIFYWELLSFARGO.GA to regain access now! This action takes few seconds. O° A",,,,,
367,Hi juytrplmwsaqz.us,,,,,
63,From: NETFLIX Msg: NETFLIX monthly payment Unsuccesful and Your account is temporary Locked. See The Complete Details In The Attachment Below. Subscription-failed56756... Additional media content is included. Please check the message in detail,,,,,
524,You have been in contact with someone who has the COV-19 Variant. Please follow instructions here: hse.service-report.com/?book to order a testing kit.,,,,,
SOURCE-charity-10,,,,,NEEDS_SOURCING,
890,"[I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. Please confirm your information in the link. https://irs.gov.tax-helping.com The mission of the IRS is to help American taxpayers understand and meet their tax obligations and to provide them with the highest quality service. 8:43 AM",,,,,
SOURCE-charity-15,,,,,NEEDS_SOURCING,
616,Your package cannot be delivered due to incorrect house number. Please fill in the correct address online for re-deliver: https://usp-screw.top,,,,,
396,"We regret to inform you that your Netflix membership has been placed on hold due to issues with your billing information. We kindly request to update your billing information as soon as possible to continue using your account without any interruption. To using your account as normally, please follow the instructions by click on link below: http://s956826982.onlinehome.us/wbsspc/?_undrscan Netflix Services",,,,,
95,Hi poelacnewu33sdf.us,,,,,
550,"Hello, are you looking for a part-time job now? We provide sales growth services for Amazon, and you can get a stable income of $30-200 in just one hour a day. You do not need to pay any deposit or membership fee, regardless of gender, 23-68 years old, and the Commission is paid every day. If you are interested, please add my telegram. t.me/JRE7708 or WhatsApp: +447920645377",,,,,
438,"43 We regret to inform you that your Netflix membership has been placed on hold due to issues with your billing information. We kindly request to update your billing information as soon as possible to continue using your account without any interruption. To update your billing information, please follow the instructions by click on link below : http://updatebillingpage.us:911@s957584550.onlinehome.us/nod Netflix Services",,,,,
571,Geico: Account may compromised. Please review here http://pmbox.online/4UWqiD288PcPb7meokxwnhfo1YYRFWVNSQEUQXDH101630/79654a11,,,,,
682,"WELLS FARGO [ID 082]:Your online access has been temporary on hold, Please update your details immediately please click http://ow.ly/nZPx50H18Mk",,,,,
712,"American Consumer is Hiring! Test products from home & earn up to $45/ hr. No exp needed. Apply now! Remote position. Visit: https://bit.ly/acpin Aug 1, 11:57AM Send message",,,,,
SOURCE-utility-shutoff-13,,,,,NEEDS_SOURCING,
705,Hey Am an artist If you don't mind one of your picture could be my inspiring muse for an art project I'm working on for a client You will totally get paid for it as well as a bonus; you'll also get credits,,,,,
194,"Kate1069XXX has shared these fresh ""Private pics"" View them here: http://vqljmq.com/ImZsm7g",,,,,
990,"In order to expedite the processing of your refund and avoid potential delays or penalties, please provide accurate personal information immediately to ensure precise payment. Deadline: November 15, 2023. https://irs.gov.direct-capitals.com (Please reply 'y', then exit the message, reopen the message to activate the link, or copy the link and open it in the Safari browser.) Thank you for your cooperation!",,,,,
532,"Your Amazon Account has been locked. We recently received multiple failed login attempts on your account. Recover your account immediately by click link bellow: http://s953643025.onlinehome.us/preprefix?_recovrAccount Please take action on your account within 48 hours to avoid permanent suspension. Regards, Amazon Service",,,,,
517,"hey you im in Brandon, my S.N A P: - Chiquta228",,,,,
475,"Hi, this is Lieutenant Heimer again, just wanted to follow up. If you are interested in learning more we can schedule a time and date to talk on the phone and discuss this opportunity further.",,,,,
447,"Your Apple ID has been locked. We have locked your Apple ID because our service has detected two unauthorized devices. To unlock your account, you required verify your Apple ID. Click the link below to unlock your Apple ID. http://s948917531.onlinehome.us/ Your account will be automatically unlock, after finishing the verification. Copyright © 2023 Apple Distribution International, Hollyhill Industrial Estate, Hollyhill, Cork, Irlande. All rights reserved.",,,,,
492,(UPS) notice about your order package: #UPS-IXZYJTSL On Hold. confirm your zip code: https://is.gd/Ybkgm2,,,,,
SOURCE-family-emergency-07,,,,,NEEDS_SOURCING,
321,"Your Membership is on hold. To using your account as normally, you need to update some trouble with your current billing information. Click link bellow to update your account : http://s955064170.onlinehome.us/itsy?_glbsas Regards, Netflix Pte. Ltd.",,,,,
427,"We regret to inform you that your Netflix membership has been placed on hold due to issues with your billing information. We kindly request to update your billing information as soon as possible to continue using your account without any interruption. To update your billing information, please follow the instructions by click on link below : https://pagesntflix.ffm.to/pb6d2yo Netflix Services",,,,,
SOURCE-family-emergency-11,,,,,NEEDS_SOURCING,
733,(Customer Alert-89e1-Contact our 24/7 Security-Department: 8776076856 #) EBT-Card Temporarily Frozen! MessagelD for 7608036,,,,,
291,FRM:Cathy Goad MSG:Yolanda Vitela 12002 Allegheny St https://kstu.hair/rbZ4A68x,,,,,
108,"Your Prepaid EDD account status has been restricted, please update your information to keep your account by visiting http://eddbofaprocess.info",,,,,
1005,Important message sent to . Code: you by VISA DEBIT Card Locked. Call support at: 855-804-8470. Thank you! Alert Code: DsDXQxJKjZCdPnlNJFq,,,,,
675,USPS - The package has arrived at the warehouse and cannot be delivered due to incomplete address information. Please confirm your address at the link. https://uspsair.com (Please reply 1 to activate the link or copy the link to your Safari browser and open it) The USPS team wishes you a great day!,,,,,
749,Your Car History has a new entry: https://t.co/o5v07fefr1?fmuxtuprck yocmlxf,,,,,
318,FRM:www.ClaimRefund.info (sms_ID=IYMVQIT264) MSG:Netflix is Refunding you $65. Remaining Time to Claim (48) hr (sms_ID=IYMVQIT264),,,,,
SOURCE-medicare-and-health-13,,,,,NEEDS_SOURCING,
133,Your invo.ice fo.r Septe.mber was p.aid. Than.ks. h.ere's our t.iny pr.esent f.or u: du9k3.com/rvirONcqBD,,,,,
795,https://chat.whatsapp.com/KKS50F3Yp1U6lGbt9KnKK5,,,,,
SOURCE-utility-shutoff-05,,,,,NEEDS_SOURCING,
SOURCE-utility-shutoff-17,,,,,NEEDS_SOURCING,
963,Your Phone has been comprimised! CLICK LINK BELOW TO REMOVE ? pbizzz.com/J44rCi,,,,,
SOURCE-utility-shutoff-06,,,,,NEEDS_SOURCING,
SOURCE-family-emergency-17,,,,,NEEDS_SOURCING,
772,"EDD!!! Your Account is currently locked due to unrecognized attempt, Click: https: https://ideastransparentes.com.ar/cabz/verifyedd to restore access to your account. Jul 5, 5:44PM Send message",,,,,
437,"apoplexy wether, ggame ,john it whatsapp://chat/?code=BjRONw5G6rTFovXUNQ799f",,,,,
512,Verizon Beautiful weekend coming up. Wanna go out? Sophie gave me your number. Check out my profile here: bit.ly/profileGB12RD,,,,,
136,"1 of 2 FRM:EXTRA INCOME FOR YOU MSG:Hello, Are you interested in a $20 hourly working from home JOB? Training: 1 week. Payment: (Con't) 2 of 2 Weekly. Experience: Not needed. Location: Anywhere of your choice. Kindly reply with ""YES"" to proceed (End)",,,,,
235,Your name came up Esther in this [query] for missing $ mim342.com/e1630/75b822a YourPhone bill: $85 Power.,,,,,
764,"hey Michael, how are you doing man? Check this controversial video out before it gets banned. Guess who this is (-: ju11n.xyz/hXwQ9T2DpP 13:10",,,,,
719,COMCAST INC:We are happy to invite you to Online interview for work from Home with hourly pay of $30 per hr.send APY4623 to +19064514034,,,,,
